rollout/ep_rew_mean,train/clip_range,time/fps,time/time_elapsed,train/learning_rate,train/policy_gradient_loss,train/clip_fraction,time/total_timesteps,time/iterations,train/entropy_loss,train/approx_kl,train/n_updates,train/explained_variance,train/loss,train/value_loss,rollout/ep_len_mean
-9.82,0.2,735,1291,0.0003,-0.014423088212060975,0.1440185546875,950272,232,-0.9193020345643163,0.022110566,2310,0.9775318335741758,0.002007298870012164,0.009469889979209256,921.24
-9.91,0.2,735,1313,0.0003,-0.011779745497187832,0.1314453125,966656,236,-0.947169144731015,0.02607482,2350,0.9666510373353958,-0.016224952414631844,0.015728534057598154,908.76
-9.91,0.2,736,1335,0.0003,-0.019682200021998143,0.1489501953125,983040,240,-1.0899327694438399,0.016708698,2390,0.9251435622572899,-0.03268882632255554,0.02944518931908533,892.64
-9.73,0.2,736,1357,0.0003,-0.017877757387395832,0.1611328125,999424,244,-1.0531294678337872,0.019529969,2430,0.9608017913997173,-0.051974114030599594,0.03936927594149893,906.16
-9.64,0.2,736,1379,0.0003,-0.006539647558020079,0.15009765625,1015808,248,-1.016199518647045,0.024436353,2470,0.9559688977897167,0.031634800136089325,0.018825559918514045,913.8
-9.64,0.2,736,1401,0.0003,-0.020099567733268486,0.1564453125,1032192,252,-0.9637567565776408,0.020487841,2510,0.9741831701248884,-0.005822138860821724,0.016906909378940328,918.44
-9.55,0.2,736,1423,0.0003,-0.012381463689962402,0.123388671875,1048576,256,-0.9941091474145651,0.014495389,2550,0.9227855950593948,-0.021143099293112755,0.09431261774589075,916.24
-9.55,0.2,736,1445,0.0003,-0.013446525483595905,0.130810546875,1064960,260,-1.0306715574115515,0.014959205,2590,0.947394460439682,-0.019589204341173172,0.0357309592405727,913.24
-9.55,0.2,737,1467,0.0003,-0.016603233455316512,0.175048828125,1081344,264,-0.9014059043489396,0.02184498,2630,0.976517615839839,0.009294725954532623,0.015553482851828448,907.04
-9.73,0.2,737,1488,0.0003,-0.019635087035931066,0.1320068359375,1097728,268,-1.0577967623248696,0.016553614,2670,0.9422981031239033,-0.045142948627471924,0.016171156762356986,898.04
-9.64,0.2,736,1512,0.0003,-0.017740297987256782,0.1260009765625,1114112,272,-1.0236152354627848,0.017122604,2710,0.9806814175099134,-0.04510817676782608,0.011708266201276274,894.64
-9.73,0.2,736,1535,0.0003,-0.01640340862541052,0.1442138671875,1130496,276,-1.0359395852312445,0.018992398,2750,0.9676695615053177,-0.033843863755464554,0.011828077754307742,892.8
-9.73,0.2,735,1559,0.0003,-0.015257084273616783,0.1529052734375,1146880,280,-1.0418755814433098,0.020554002,2790,0.9648480378091335,-0.0044507295824587345,0.014446553316156496,891.96
-9.82,0.2,734,1584,0.0003,-0.02335591710434528,0.1719482421875,1163264,284,-0.9858322979882359,0.01862925,2830,0.9798300806432962,-0.029853560030460358,0.009848832445823064,896.68
-9.73,0.2,733,1608,0.0003,-0.014161810056248215,0.1400146484375,1179648,288,-0.980307564791292,0.022003435,2870,0.9727880619466305,-0.013883785344660282,0.013805618506830796,894.32
-9.82,0.2,732,1633,0.0003,-0.015551682422665181,0.1375244140625,1196032,292,-0.9626236538402736,0.019282088,2910,0.9785167258232832,-0.032611969858407974,0.007178666591789807,890.44
-9.73,0.2,731,1657,0.0003,-0.017802207406202798,0.1378173828125,1212416,296,-0.870618480630219,0.019681148,2950,0.9452001601457596,-0.026870815083384514,0.037073035332286966,890.36
-9.82,0.2,730,1681,0.0003,-0.018952647182595685,0.16162109375,1228800,300,-0.9987247035838663,0.016602144,2990,0.9688716419041157,-0.043169740587472916,0.01328315457831195,887.32
-9.64,0.2,729,1706,0.0003,-0.022943873405165505,0.181396484375,1245184,304,-0.901712950039655,0.02177678,3030,0.9847408998757601,-0.030323578044772148,0.007380499456667166,893.68
-9.55,0.2,729,1730,0.0003,-0.0159983406549145,0.1544921875,1261568,308,-0.9033808554522693,0.02208668,3070,0.9682149663567543,-0.023489689454436302,0.014345573569153202,889.76
-9.46,0.2,728,1754,0.0003,-0.014875340711296304,0.162060546875,1277952,312,-0.9671885217539966,0.022376228,3110,0.9775444511324167,-0.029474196955561638,0.007397704855520715,897.8
-9.46,0.2,727,1779,0.0003,-0.012774837092365487,0.17255859375,1294336,316,-0.9158044152893126,0.022500958,3150,0.973724577575922,-0.023783473297953606,0.010990578460268807,912.6
-9.37,0.2,726,1803,0.0003,-0.015171805659338133,0.1408447265625,1310720,320,-0.9633472302928567,0.019812651,3190,0.9702461492270231,-0.05285467579960823,0.011761551264226,920.16
-9.37,0.2,726,1827,0.0003,-0.01525043415822438,0.1468994140625,1327104,324,-0.9712024497799575,0.021096945,3230,0.9407380782067776,-0.018216419965028763,0.04524482895940309,925.08
-9.46,0.2,725,1852,0.0003,-0.017371880197606514,0.162646484375,1343488,328,-0.93420902621001,0.020585533,3270,0.9612573906779289,-0.040148187428712845,0.014418172209116165,924.72
-9.55,0.2,724,1876,0.0003,-0.017392936284159076,0.1560302734375,1359872,332,-1.1041591678746046,0.018471098,3310,0.9778174795210361,-0.03152573108673096,0.011089181614261178,941.24
-9.64,0.2,723,1901,0.0003,-0.014050299949485635,0.1466064453125,1376256,336,-0.9669881103560328,0.020073982,3350,0.9685591608285904,-0.018815498799085617,0.016536941037611542,933.88
-9.82,0.2,723,1925,0.0003,-0.018659153114276704,0.1553466796875,1392640,340,-0.9264469563029707,0.017579138,3390,0.9758119583129883,-0.021828049793839455,0.012320443421049276,921.2
-9.82,0.2,722,1950,0.0003,-0.01994398383249063,0.177490234375,1409024,344,-0.870467293728143,0.023309797,3430,0.9798906538635492,-0.039441145956516266,0.009237530040627462,924.68
-9.91,0.2,721,1974,0.0003,-0.01516291642710712,0.15615234375,1425408,348,-1.029668000433594,0.019391773,3470,0.9757950827479362,-0.039280690252780914,0.010358770962284325,922.56
-9.91,0.2,721,1999,0.0003,-0.016859548152569914,0.165673828125,1441792,352,-0.9832313037477434,0.02313484,3510,0.9753718171268702,-0.018902985379099846,0.009240531549039588,913.92
-9.82,0.2,720,2023,0.0003,-0.020953051823744316,0.1429931640625,1458176,356,-1.0035535901784898,0.020604484,3550,0.975543525069952,0.010877045802772045,0.01126053528905686,900.32
-9.82,0.2,720,2047,0.0003,-0.014322971792716998,0.13583984375,1474560,360,-0.915432992298156,0.019183671,3590,0.973369900137186,-0.030713023617863655,0.0199838131748038,914.08
-9.82,0.2,719,2072,0.0003,-0.017147123940230814,0.130029296875,1490944,364,-1.08005151739344,0.017515095,3630,0.9587462283670902,-0.04037128761410713,0.02445976822718876,885.28
